date,close,volume,open,high,low,ln,,,,
2/6/2015,156.72,3256440,157.34,158.08,156.23,0.006208616,,,,
2/9/2015,155.75,2981444,156,157.5,155.4,-0.017880913,,,,
2/10/2015,158.56,4440579,156.74,158.56,155.08,0.002273015,,,,
2/11/2015,158.2,3626629,157.76,159.09,157.17,-0.002020713,,,,
2/12/2015,158.52,3331904,158.72,159.5,158.09,-0.011789927,,,,
2/13/2015,160.4,3706909,158.78,160.8,158.64,-0.003485191,,,,
2/17/2015,160.96,2892929,159.75,161.41,159.73,-0.007612601,,,,
2/18/2015,162.19,4358252,161.86,162.47,160.64,-0.010426984,,,,
2/19/2015,163.89,3504269,162.05,164.49,161.44,0.00146547,,,,
2/20/2015,163.65,3346955,163.64,164.34,162.09,0.0045321,,,,
2/23/2015,162.91,2712218,164.23,164.4,162.5,-0.011716739,,,,
2/24/2015,164.83,4048109,162.49,164.99,161.51,0.012330763,,,,
2/25/2015,162.81,4003088,164.94,164.96,162.58,0.011987291,,,,
2/26/2015,160.87,7107766,163.74,164.14,159.77,-0.006629311,,,,
2/27/2015,161.94,4403866,161.05,162.29,160.16,0.009056572,,,,
3/2/2015,160.48,5910972,161.68,161.89,159.8101,-0.003421359,,,,
3/3/2015,161.03,3234006,160.27,161.75,160,0.010048454,,,,
3/4/2015,159.42,3633335,160.54,160.56,158.72,-0.010979524,,,,
3/5/2015,161.18,3787426,159.86,161.5,159.703,0.01676716,,,,
3/6/2015,158.5,4538724,160.19,161.44,158.06,-0.014220179,,,,
3/9/2015,160.77,5193874,158.2,161.15,158.2,0.018582994,,,,
3/10/2015,157.81,4600260,159.6,160.23,157.81,0.00642067,,,,
3/11/2015,156.8,5709280,158.57,159.14,155.935,-0.007497335,,,,
3/12/2015,157.98,4566291,156.27,158.72,156.27,0.023699309,,,,
3/13/2015,154.28,6057170,157.46,157.52,153.4,-0.017986096,,,,
3/16/2015,157.08,3749638,155.05,157.09,154.8,0.000764234,,,,
3/17/2015,156.96,3311792,156.2,157.29,155.37,-0.017994614,,,,
3/18/2015,159.81,5737794,156.85,160.7,155.8,0,,,,
3/19/2015,159.81,3871119,159.7,160.92,158.81,-0.019028124,,,,
3/20/2015,162.88,9001842,160.95,163,160.35,-0.010686798,,,,
3/23/2015,164.63,5929727,162.77,165.35,162.73,0.009950331,,,,
3/24/2015,163,4331090,164.79,164.89,162.9,0.023588927,,,,
3/25/2015,159.2,5428222,163.08,163.08,159.2,-0.00869326,,,,
3/26/2015,160.59,4391017,159.27,161.25,158.91,0.001183838,,,,
3/27/2015,160.4,3477801,160.79,160.9,159.23,-0.014052913,,,,
3/30/2015,162.67,4137986,161.31,163.6,161.25,0.013429666,,,,
3/31/2015,160.5,4254808,161.08,162.33,160.4,0.008258305,,,,
4/1/2015,159.18,3694519,160.23,160.62,158.39,-0.00794673,,,,
4/2/2015,160.45,4671478,159.52,162.54,158.89,-0.009860851,,,,
4/6/2015,162.04,3465581,159.69,162.8,158.702,-0.000185122,,,,
4/7/2015,162.07,3147566,161.67,163.84,161.62,0.00135836,,,,
4/8/2015,161.85,2521583,161.72,163.55,161.01,-0.003022921,,,,
4/9/2015,162.34,2263480,161.7,162.47,160.72,-0.003198035,,,,
4/10/2015,162.86,2511035,162.34,163.33,161.25,0.002951669,,,,
4/13/2015,162.38,3868071,162.37,164,162.36,0.000492793,,,,
4/14/2015,162.3,2716418,162.42,162.7352,160.79,-0.011212322,,,,
4/15/2015,164.13,3495848,162.63,164.96,162.5,0.006111368,,,,
4/16/2015,163.13,3130813,163.31,163.98,162.54,0.015194857,,,,
4/17/2015,160.67,4308880,161.75,161.86,160.03,-0.033598608,,,,
4/20/2015,166.16,9572126,162.1,166.64,161.9,0.011500641,,,,
4/21/2015,164.26,9681557,166.07,167.38,164.05,-0.006674377,,,,
4/22/2015,165.36,4022236,164.39,166,162.89,-0.029084291,,,,
4/23/2015,170.24,8226707,165.23,171.91,165.14,0.002705725,,,,
4/24/2015,169.78,3887859,170.23,170.85,168.74,-0.00557988,,,,
4/27/2015,170.73,3166588,170.89,171.49,170.3,-0.018512062,,,,
4/28/2015,173.92,5814978,170.83,174.69,170.02,-0.002756088,,,,
4/29/2015,174.4,4515143,173.4,175.1303,172.8,0.017993485,,,,
4/30/2015,171.29,5058348,173.77,174.28,170.3,-0.01379892,,,,
5/1/2015,173.67,3311743,173.2,174,172.42,-0.001725924,,,,
5/4/2015,173.97,4023794,174.47,176.3,173.7,0.005128955,,,,
5/5/2015,173.08,3593415,173.51,174.23,171.96,0.017661404,,,,
5/6/2015,170.05,3610295,172.9,174.05,168.86,-0.005512564,,,,
5/7/2015,170.99,2472627,169.63,171.98,169.04,-0.009835095,,,,
5/8/2015,172.68,3092479,172.94,173.33,172.24,0.009075106,,,,
5/11/2015,171.12,2657123,172.65,172.99,170.86,0.003336556,,,,
5/12/2015,170.55,2954387,170.55,171.4899,168.84,-0.010092551,,,,
5/13/2015,172.28,2457170,171.24,172.74,170.75,-0.010221554,,,,
5/14/2015,174.05,2438669,173.5,174.4,173.22,0.004549258,,,,
5/15/2015,173.26,2916087,173.91,174.41,172.6,0.001155001,,,,
5/18/2015,173.06,1930206,173.44,173.49,172.3,-0.002423964,,,,
5/19/2015,173.48,2522984,172.97,173.75,171.93,-0.001612718,,,,
5/20/2015,173.76,2300693,173.33,174.44,172.46,0.002420053,,,,
5/21/2015,173.34,2293645,173.32,174.14,173.035,0.006482254,,,,
5/22/2015,172.22,2849142,173.04,173.39,172.19,0.012209879,,,,
5/26/2015,170.13,3841937,172.11,172.12,169.13,-0.010931626,,,,
5/27/2015,172,2764328,171.16,172.48,170.49,0.001687469,,,,
5/28/2015,171.71,1731347,171.45,171.84,170.66,0.012069516,,,,
5/29/2015,169.65,4075576,171.35,171.35,169.65,-0.003119209,,,,
6/1/2015,170.18,2982367,170.21,171.04,169.03,0.003119209,,,,
6/2/2015,169.65,2571662,169.66,170.45,168.43,-0.001590247,,,,
6/3/2015,169.92,2131031,170.5,171.5601,169.63,0.009104408,,,,
6/4/2015,168.38,3076991,169.53,170.6,167.93,0.005837172,,,,
6/5/2015,167.4,3100401,168.25,168.9103,167.2,0.012382198,,,,
6/8/2015,165.34,3758676,167.17,167.28,165.02,-0.002054257,,,,
6/9/2015,165.68,3394390,165.34,166.02,163.37,-0.019367013,,,,
6/10/2015,168.92,4680002,166.49,169.39,166.06,0.000829138,,,,
6/11/2015,168.78,3463893,169.26,170.44,168.54,0.010662161,,,,
6/12/2015,166.99,3062125,168.23,168.3,166.69,0.004381102,,,,
6/15/2015,166.26,4242795,165.33,166.44,164.25,-0.003482441,,,,
6/16/2015,166.84,3249752,166.33,167.4,165.91,-0.001975989,,,,
6/17/2015,167.17,2862993,167,167.8476,166.1,-0.00643971,,,,
6/18/2015,168.25,3330764,167.05,168.72,167.05,0.007517038,,,,
6/19/2015,166.99,7015534,167.62,168.42,166.77,-0.004421613,,,,
6/22/2015,167.73,2335796,167.65,168.34,167.2,-0.005292119,,,,
6/23/2015,168.62,3700989,168.38,169.97,167.573,0.009833507,,,,
6/24/2015,166.97,3548079,168.71,168.84,166.8301,0.005344556,,,,
6/25/2015,166.08,2408705,167.8,168.13,166.08,0.003740126,,,,
6/26/2015,165.46,8925498,166.23,166.8116,165.23,0.015163339,,,,
6/29/2015,162.97,3313914,163.92,165.35,162.89,0.001904002,,,,
6/30/2015,162.66,3597257,163.99,164,162.12,-0.011187645,,,,
7/1/2015,164.49,3214437,163.97,165.61,163.6,-0.003641002,,,,
7/2/2015,165.09,2851396,165.05,165.32,164.42,0.00218301,,,,
7/6/2015,164.73,3077410,163.83,165.23,163.52,-0.001637704,,,,
7/7/2015,165,3549861,164.94,165.35,162.2317,0.011214159,,,,
7/8/2015,163.16,2776271,164,164.94,162.68,-0.004220061,,,,
7/9/2015,163.85,4199088,165.34,165.51,163.7,-0.018742991,,,,
7/10/2015,166.95,4538349,165.66,167.4,165.515,-0.014450345,,,,
7/13/2015,169.38,4225488,167.93,169.89,167.52,0.004556356,,,,
7/14/2015,168.61,3021166,169.43,169.54,168.24,0.00047458,,,,
7/15/2015,168.53,1997729,168.48,169.27,168,-0.014549781,,,,
7/16/2015,171,3529424,169.47,171.09,169.16,-0.008791649,,,,
7/17/2015,172.51,4346777,170.33,172.52,170.1,-0.004107257,,,,
7/20/2015,173.22,7251305,172.79,173.78,172.14,0.060382906,,,,
7/21/2015,163.07,13727110,164.34,166.35,162.02,0.01682063,,,,
7/22/2015,160.35,7173079,162.73,163.0695,159.7,-0.008569352,,,,
7/23/2015,161.73,5028356,160.27,162.75,159.83,0.012318185,,,,
7/24/2015,159.75,3770407,161.29,161.93,159.41,0.004265736,,,,
7/27/2015,159.07,3705475,159,160.18,158.6,-0.00614191,,,,
7/28/2015,160.05,2720720,159.91,160.19,158.5,-0.006476949,,,,
7/29/2015,161.09,3376951,160,161.5,159.39,0.000807328,,,,
7/30/2015,160.96,1994600,160.5,161.4,159.75,-0.006378718,,,,
7/31/2015,161.99,3580225,161.4,162.06,160.63,0.020455967,,,,
8/3/2015,158.71,4611807,161.7,161.85,157.9,0.00701846,,,,
8/4/2015,157.6,5253212,158.4,158.82,156.87,-0.001901744,,,,
8/5/2015,157.9,3469300,159.1,159.54,157.48,0.010056733,,,,
8/6/2015,156.32,3004487,157.13,157.54,156.18,0.007706177,,,,
8/7/2015,155.12,3794472,155.89,156.25,154.335,-0.010453169,,,,
8/10/2015,156.75,4610586,156.77,157.4652,156.12,0.007942141,,,,
8/11/2015,155.51,3158019,155.96,155.99,154.86,-0.004171084,,,,
8/12/2015,156.16,3621923,154.26,156.52,153.95,0.007004495,,,,
8/13/2015,155.07,2533318,156.06,156.09,154.3171,-0.00437553,,,,
8/14/2015,155.75,3222424,155,156.21,154.58,-0.003589057,,,,
8/17/2015,156.31,2243551,155.2,156.69,154.7,0.001921107,,,,
8/18/2015,156.01,2018032,155.51,156.52,155.25,0.013357192,,,,
8/19/2015,153.94,4203777,155.15,155.67,153.41,0.00834969,,,,
8/20/2015,152.66,3981843,152.74,153.91,152.5,0.025274139,,,,
8/21/2015,148.85,7344606,151.5,153.19,148.7,0.036813133,,,,
8/24/2015,143.47,10186520,143.47,147.76,142.32,0.017649792,,,,
8/25/2015,140.96,6898457,146.94,147.11,140.62,-0.039913523,,,,
8/26/2015,146.7,6197128,144.09,146.98,142.14,-0.012464597,,,,
8/27/2015,148.54,4792185,148.5,148.97,145.66,0.003777153,,,,
8/28/2015,147.98,4061510,147.75,148.2,147.18,0.000608375,,,,
8/31/2015,147.89,4083861,147.38,148.4,146.26,0.035864394,,,,
9/1/2015,142.68,5267687,144.91,144.98,141.85,-0.01647415,,,,
9/2/2015,145.05,4250688,144.74,145.08,143.18,-0.011856357,,,,
9/3/2015,146.78,3595764,146.05,148.03,145.77,0.021207074,,,,
9/4/2015,143.7,4192876,144.57,145.4,143.32,-0.024268197,,,,
9/8/2015,147.23,3919644,145.86,147.34,145.66,0.014917479,,,,
9/9/2015,145.05,3399297,148.74,149.04,144.85,-0.007897037,,,,
9/10/2015,146.2,3458854,145.85,147.16,144.51,-0.007970884,,,,
9/11/2015,147.37,3113803,145.91,147.5,145.67,0.011739948,,,,
9/14/2015,145.65,3220004,147.37,147.37,145.41,-0.012825062,,,,
9/15/2015,147.53,2713661,146.6,147.93,145.76,-0.005947169,,,,
9/16/2015,148.41,2799222,147.84,148.89,147.54,0.001820941,,,,
9/17/2015,148.14,3959184,148.1,149.68,147.3,0.024809063,,,,
9/18/2015,144.51,7939583,146.05,146.385,143.98,-0.013540191,,,,
9/21/2015,146.48,3824258,145.39,146.98,144.92,0.014093939,,,,
9/22/2015,144.43,3557686,144.62,145.06,143.7699,0.005345564,,,,
9/23/2015,143.66,2674220,144.21,144.57,142.75,-0.005207079,,,,
9/24/2015,144.41,3266646,142.6,145.07,141.95,-0.006969631,,,,
9/25/2015,145.42,3465167,145.55,146.27,144.53,0.020143766,,,,
9/28/2015,142.52,4314456,144.42,145.38,142.47,0.00035089,,,,
9/29/2015,142.47,4763509,141.99,142.66,141.1501,-0.017395373,,,,
9/30/2015,144.97,3943084,143.69,145.71,143.66,0.009564808,,,,
10/1/2015,143.59,3876222,145.31,145.67,141.59,-0.006870971,,,,
10/2/2015,144.58,3053628,141.05,144.59,140.56,-0.030381739,,,,
10/5/2015,149.04,5127784,145.82,149.8925,145.82,0.001746022,,,,
10/6/2015,148.78,3011246,149.06,150.15,148.49,-0.008766409,,,,
10/7/2015,150.09,2986110,150.04,150.73,148.8565,-0.014485817,,,,
10/8/2015,152.28,4781062,149.69,153.019,149.29,-0.000722093,,,,
10/9/2015,152.39,3531007,152.46,153.147,151.27,0.008236465,,,,
10/12/2015,151.14,3225252,152.4,152.58,150.85,0.010107813,,,,
10/13/2015,149.62,3915682,150.78,150.78,149.18,-0.002603212,,,,
10/14/2015,150.01,3348472,149.6,150.65,149.02,-0.000533156,,,,
10/15/2015,150.09,3475724,150.91,151.24,148.58,-0.001996806,,,,
10/16/2015,150.39,3477632,150.45,151.2,149.26,0.007810193,,,,
10/19/2015,149.22,7784210,149.85,149.97,148.38,0.059218293,,,,
10/20/2015,140.64,15973290,142.49,142.88,140.27,-0.00198892,,,,
10/21/2015,140.92,7124230,140.25,142.66,139.3,-0.022245751,,,,
10/22/2015,144.09,5568059,141.74,145.07,141.62,-0.004086303,,,,
10/23/2015,144.68,5363390,144.61,145.49,143.7,0.00707501,,,,
10/26/2015,143.66,3485906,144.75,145,143.21,0.041210719,,,,
10/27/2015,137.86,14997830,143.51,143.83,137.33,-0.021314812,,,,
10/28/2015,140.83,8502681,137.92,141.23,137.5,0.001990192,,,,
10/29/2015,140.55,3703215,140.36,140.82,139.0201,0.003349609,,,,
10/30/2015,140.08,3975336,140.44,141.33,139.9,-0.002068106,,,,
11/2/2015,140.37,3822205,140.5,140.5165,139.57,-0.010699836,,,,
11/3/2015,141.88,4349317,140.02,142.8,139.9,0.001763607,,,,
11/4/2015,141.63,3516890,142.55,142.65,141.3,0.012361624,,,,
11/5/2015,139.89,5089561,141.61,142.38,139.63,0.011792759,,,,
11/6/2015,138.25,4736805,138.6,139.55,137.87,0.021495198,,,,
11/9/2015,135.31,8068693,137.92,138.08,134.88,-0.001181771,,,,
11/10/2015,135.47,4448658,135.36,135.735,134.12,0.003327298,,,,
11/11/2015,135.02,3164095,136.09,136.2,134.5,0.014773081,,,,
11/12/2015,133.04,4697877,134.7,134.7,133.01,0.009743647,,,,
11/13/2015,131.75,4582895,132.95,133,131.65,-0.014767088,,,,
11/16/2015,133.71,4165133,131.79,134.09,131.79,-0.000822338,,,,
11/17/2015,133.82,2801192,134.22,134.82,133.31,-0.014834866,,,,
11/18/2015,135.82,4135085,134.79,135.91,134.26,-0.006750833,,,,
11/19/2015,136.74,4753303,136.21,137.7355,136.01,-0.012789013,,,,
11/20/2015,138.5,5174850,137.37,138.915,137.25,0.00028885,,,,
11/23/2015,138.46,5137820,138.53,138.87,137.12,-0.001010612,,,,
11/24/2015,138.6,3407553,137.65,139.34,137.31,0.004338402,,,,
11/25/2015,138,3238166,138.37,138.43,137.375,-0.00332779,,,,
11/27/2015,138.46,1415840,138,138.81,137.21,-0.006909485,,,,
11/30/2015,139.42,4481989,138.61,139.9,138.52,-0.013252777,,,,
12/1/2015,141.28,4189424,139.58,141.4,139.58,0.011246471,,,,
12/2/2015,139.7,3717357,140.93,141.21,139.5,0.005599038,,,,
12/3/2015,138.92,5904111,140.1,140.73,138.19,-0.010810916,,,,
12/4/2015,140.43,4567252,138.09,141.02,137.99,0.006286184,,,,
12/7/2015,139.55,3279280,140.16,140.41,138.81,0.010807022,,,,
12/8/2015,138.05,3904753,138.28,139.06,137.53,0.010485787,,,,
12/9/2015,136.61,4614971,137.38,139.84,136.23,-0.001243645,,,,
12/10/2015,136.78,4221668,137.03,137.85,135.7201,0.016289286,,,,
12/11/2015,134.57,5331017,135.23,135.44,133.91,-0.010055538,,,,
12/14/2015,135.93,5139876,135.31,136.14,134.02,-0.01359074,,,,
12/15/2015,137.79,4234341,137.4,138.97,137.28,-0.010827304,,,,
12/16/2015,139.29,4342627,139.12,139.65,137.79,0.018403649,,,,
12/17/2015,136.75,4088762,139.35,139.5,136.3075,0.013620678,,,,
12/18/2015,134.9,9991752,136.41,136.96,134.27,-0.004437877,,,,
12/21/2015,135.5,5595538,135.83,135.83,134.02,-0.01777467,,,,
12/22/2015,137.93,4263538,135.88,138.19,135.65,-0.004412783,,,,
12/23/2015,138.54,5164909,138.3,139.305,138.11,0.002095452,,,,
12/24/2015,138.25,1495226,138.43,138.88,138.11,0.004640043,,,,
12/28/2015,137.61,3139777,137.74,138.045,136.54,-0.015646161,,,,
12/29/2015,139.78,3943676,138.25,140.06,138.2,0.003152768,,,,
