Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
7/2/2009,936,0.003746325,,,,,,,,,,,,
7/3/2009,932.5,0.011866374,,,,,,,,,,,,
7/6/2009,921.5,-0.004601443,,,,,,,,,,,,
7/7/2009,925.75,0.005415664,,,,,,,,,,,,
7/8/2009,920.75,0.006537751,,,,,,,,,,,,
7/9/2009,914.75,0.005206204,,,,,,,,,,,,
7/10/2009,910,0.001649712,,,,,,,,,,,,
7/13/2009,908.5,-0.014479149,,,,,,,,,,,,
7/14/2009,921.75,-0.008910549,,,,,,,,,,,,
7/15/2009,930,-0.005629287,,,,,,,,,,,,
7/16/2009,935.25,0.000802246,,,,,,,,,,,,
7/17/2009,934.5,-0.018815978,,,,,,,,,,,,
7/20/2009,952.25,0.004736851,,,,,,,,,,,,
7/21/2009,947.75,0.002376866,,,,,,,,,,,,
7/22/2009,945.5,-0.010259198,,,,,,,,,,,,
7/23/2009,955.25,0.005774294,,,,,,,,,,,,
7/24/2009,949.75,-0.006559121,,,,,,,,,,,,
7/27/2009,956,0.001046573,,,,,,,,,,,,
7/28/2009,955,0.020630195,,,,,,,,,,,,
7/29/2009,935.5,0.003748331,,,,,,,,,,,,
7/30/2009,932,-0.004816707,,,,,,,,,,,,
7/31/2009,936.5,-0.01877617,,,,,,,,,,,,
8/3/2009,954.25,0.000786267,,,,,,,,,,,,
8/4/2009,953.5,-0.011470407,,,,,,,,,,,,
8/5/2009,964.5,0.003895603,,,,,,,,,,,,
8/6/2009,960.75,0.000260247,,,,,,,,,,,,
8/7/2009,960.5,0.007314557,,,,,,,,,,,,
8/10/2009,953.5,0.007896856,,,,,,,,,,,,
8/11/2009,946,0.002646204,,,,,,,,,,,,
8/12/2009,943.5,-0.013161548,,,,,,,,,,,,
8/13/2009,956,-0.001567808,,,,,,,,,,,,
8/14/2009,957.5,0.021108963,,,,,,,,,,,,
8/17/2009,937.5,-0.00079968,,,,,,,,,,,,
8/18/2009,938.25,0.00427237,,,,,,,,,,,,
8/19/2009,934.25,-0.009852296,,,,,,,,,,,,
8/20/2009,943.5,0.002122017,,,,,,,,,,,,
8/21/2009,941.5,-0.012927235,,,,,,,,,,,,
8/24/2009,953.75,0.006574646,,,,,,,,,,,,
8/25/2009,947.5,-0.002108593,,,,,,,,,,,,
8/26/2009,949.5,0.006339165,,,,,,,,,,,,
8/27/2009,943.5,-0.007654782,,,,,,,,,,,,
8/28/2009,950.75,0.001052355,,,,,,,,,,,,
9/1/2009,949.75,-0.005512548,,,,,,,,,,,,
9/2/2009,955,-0.028389003,,,,,,,,,,,,
9/3/2009,982.5,-0.004822956,,,,,,,,,,,,
9/4/2009,987.25,-0.00555557,,,,,,,,,,,,
9/7/2009,992.75,-0.011766314,,,,,,,,,,,,
9/8/2009,1004.5,0.008748962,,,,,,,,,,,,
9/9/2009,995.75,0.007307579,,,,,,,,,,,,
9/10/2009,988.5,-0.009815103,,,,,,,,,,,,
9/11/2009,998.25,0.004015062,,,,,,,,,,,,
9/14/2009,994.25,-0.003263465,,,,,,,,,,,,
9/15/2009,997.5,-0.019360247,,,,,,,,,,,,
9/16/2009,1017,-0.003435586,,,,,,,,,,,,
9/17/2009,1020.5,0.006389798,,,,,,,,,,,,
9/18/2009,1014,0.014653187,,,,,,,,,,,,
9/21/2009,999.25,-0.016377537,,,,,,,,,,,,
9/22/2009,1015.75,0.000984979,,,,,,,,,,,,
9/23/2009,1014.75,0.000739372,,,,,,,,,,,,
9/24/2009,1014,0.016907414,,,,,,,,,,,,
9/25/2009,997,0.006540904,,,,,,,,,,,,
9/28/2009,990.5,-0.001261193,,,,,,,,,,,,
9/29/2009,991.75,-0.009533439,,,,,,,,,,,,
9/30/2009,1001.25,-0.004484312,,,,,,,,,,,,
10/1/2009,1005.75,0.007735535,,,,,,,,,,,,
10/2/2009,998,-0.006242997,,,,,,,,,,,,
10/5/2009,1004.25,-0.015806701,,,,,,,,,,,,
10/6/2009,1020.25,-0.025881237,,,,,,,,,,,,
10/7/2009,1047,-0.00737484,,,,,,,,,,,,
10/8/2009,1054.75,0.007613646,,,,,,,,,,,,
10/9/2009,1046.75,-0.005002988,,,,,,,,,,,,
10/12/2009,1052,-0.011812091,,,,,,,,,,,,
10/13/2009,1064.5,-0.00140812,,,,,,,,,,,,
10/14/2009,1066,0.012745039,,,,,,,,,,,,
10/15/2009,1052.5,0.004523279,,,,,,,,,,,,
10/16/2009,1047.75,-0.006421713,,,,,,,,,,,,
10/19/2009,1054.5,-0.00896867,,,,,,,,,,,,
10/20/2009,1064,0.009917437,,,,,,,,,,,,
10/21/2009,1053.5,-0.001185818,,,,,,,,,,,,
10/22/2009,1054.75,-0.006143687,,,,,,,,,,,,
10/23/2009,1061.25,0.005906692,,,,,,,,,,,,
10/26/2009,1055,0.01359916,,,,,,,,,,,,
